epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1628.59,0.38644,0.75733,0.00341,0.92868,0.69331,0.81006,0.51182,1.14822,3.88422,0.01591,0.000860473,0.000860473,0.000860473
149,1639.58,0.46145,1.11708,0.00407,0.86813,0.69338,0.79391,0.51216,1.12013,4.08872,0.01538,0.000858664,0.000858664,0.000858664
150,1650.84,0.36898,0.8948,0.00306,0.95119,0.69151,0.83178,0.58254,0.95585,3.57915,0.01295,0.000856846,0.000856846,0.000856846
151,1661.67,0.36713,0.77265,0.00336,0.93544,0.80247,0.85458,0.58745,0.91728,3.23381,0.01235,0.000855018,0.000855018,0.000855018
152,1672.6,0.38275,0.99845,0.0037,0.93077,0.8114,0.86938,0.59389,0.93163,2.9608,0.01211,0.00085318,0.00085318,0.00085318
153,1683.67,0.36532,0.99539,0.00337,0.93892,0.82274,0.87925,0.60339,0.90734,2.92354,0.01204,0.000851333,0.000851333,0.000851333
154,1695.3,0.35535,0.80847,0.00332,0.96738,0.76897,0.86961,0.58317,0.93338,2.96695,0.01252,0.000849477,0.000849477,0.000849477
155,1706.48,0.36188,0.71456,0.00362,0.95461,0.79884,0.86905,0.58922,0.95878,2.8163,0.01287,0.000847611,0.000847611,0.000847611
156,1717.71,0.3234,0.61981,0.00285,0.92996,0.78859,0.86286,0.6059,0.91291,2.88457,0.01233,0.000845736,0.000845736,0.000845736
157,1728.54,0.40618,0.8918,0.00351,0.92287,0.78212,0.86486,0.58884,0.96899,2.95714,0.01343,0.000843851,0.000843851,0.000843851
158,1740.59,0.37807,1.01512,0.00323,0.95783,0.77103,0.85928,0.59577,0.95502,3.06229,0.01321,0.000841957,0.000841957,0.000841957
159,1753.38,0.4188,1.00642,0.00394,0.90918,0.7598,0.84031,0.59008,0.93661,3.2492,0.01258,0.000840054,0.000840054,0.000840054
160,1765.41,0.43708,0.96906,0.00396,0.93735,0.78125,0.84988,0.58432,0.93587,3.28364,0.01232,0.000838141,0.000838141,0.000838141
161,1776.42,0.45045,1.08608,0.00401,0.96531,0.75578,0.85331,0.58523,0.92168,3.17623,0.0123,0.00083622,0.00083622,0.00083622
162,1787.51,0.47858,1.17901,0.00453,0.91849,0.78601,0.84942,0.58844,0.87938,3.1374,0.01188,0.000834289,0.000834289,0.000834289
163,1798.22,0.4068,1.00907,0.00332,0.93641,0.74128,0.85498,0.60941,0.86336,3.02299,0.01194,0.000832349,0.000832349,0.000832349
164,1809.66,0.39012,1.06515,0.00368,0.97027,0.78355,0.85408,0.60616,0.87466,2.96565,0.01213,0.000830401,0.000830401,0.000830401
165,1821.35,0.38844,0.85522,0.00332,0.95685,0.75574,0.85357,0.576,0.9245,3.24696,0.01273,0.000828443,0.000828443,0.000828443
166,1832.52,0.34702,0.66029,0.00323,0.86941,0.76572,0.83538,0.58257,0.89547,3.32577,0.01227,0.000826477,0.000826477,0.000826477
167,1843.86,0.3665,0.75298,0.00323,0.91944,0.75616,0.8241,0.59399,0.84211,3.39809,0.01149,0.000824502,0.000824502,0.000824502
168,1855.47,0.40531,0.88378,0.0039,0.89189,0.7653,0.82366,0.60527,0.80745,3.39093,0.01084,0.000822518,0.000822518,0.000822518
169,1867.51,0.35809,0.66563,0.00323,0.91573,0.75413,0.82414,0.61201,0.80231,3.41072,0.01083,0.000820525,0.000820525,0.000820525
170,1878.98,0.31957,0.67724,0.00273,0.94361,0.74952,0.81696,0.59624,0.84151,3.43589,0.01154,0.000818524,0.000818524,0.000818524
171,1890.72,0.343,0.86234,0.00319,0.93842,0.75396,0.8154,0.59133,0.86084,3.41124,0.01169,0.000816514,0.000816514,0.000816514
172,1901.93,0.31245,0.62942,0.00281,0.95506,0.75111,0.83934,0.62616,0.81732,3.05966,0.01119,0.000814495,0.000814495,0.000814495
173,1913.03,0.40559,0.97574,0.0033,0.95576,0.76965,0.84626,0.62934,0.801,3.02414,0.01114,0.000812468,0.000812468,0.000812468
174,1923.92,0.35018,0.86589,0.00308,0.93925,0.75307,0.85595,0.60684,0.86763,2.92153,0.01222,0.000810433,0.000810433,0.000810433
175,1935.29,0.40632,0.8368,0.00352,0.91464,0.75557,0.8459,0.59763,0.87609,2.92917,0.01266,0.000808389,0.000808389,0.000808389
176,1946.26,0.38159,0.9336,0.00354,0.94629,0.75874,0.84637,0.57943,0.9461,3.00744,0.01385,0.000806337,0.000806337,0.000806337
177,1957.31,0.37925,0.94408,0.00343,0.92299,0.75907,0.84177,0.5949,0.94971,3.10045,0.01332,0.000804277,0.000804277,0.000804277
178,1968.62,0.4057,0.90616,0.00373,0.92407,0.75827,0.83369,0.60403,0.89144,3.16901,0.01222,0.000802208,0.000802208,0.000802208
179,1980.82,0.40608,0.96023,0.00371,0.92378,0.70924,0.82284,0.61801,0.78032,3.69638,0.01037,0.000800131,0.000800131,0.000800131
180,1992.43,0.35209,0.94688,0.00297,0.83325,0.75714,0.82347,0.6191,0.76944,3.7865,0.0103,0.000798047,0.000798047,0.000798047
